,count,mean,std,min,25%,50%,75%,max
pl_orbper,5690.0,75209.18255825482,5331788.182734425,0.1120067,4.34731494525,11.09192915,39.445018475,402000000.0
pl_rade,5690.0,5.529874583748682,5.15690742486511,0.3098,1.77,2.7264999999999997,10.984815272499999,32.6
pl_bmasse,5666.0,327.7988516119873,987.4109213305958,0.02,4.0,8.5,136.03106954999998,9344.1551658
pl_eqt,4471.0,908.3710310892418,455.4312450901589,50.0,568.0,817.0,1159.0,4050.0
st_teff,5657.0,5377.982642743504,1346.4077602268349,415.0,4925.0,5555.0,5900.0,40000.0
